frame_name,n_vertices,n_triangles,t_feat_s,t_infer_cpu_s,t_infer_gpu_s,t_nn8_total_cpu_s,t_nn8_total_gpu_s,t_bem_assemble_s,t_bem_solve_s,t_bem_total_s
bub_0114.obj,492,980,0.007210700016003102,0.00012278700014576316,0.0002942929998971522,0.007333487016148865,0.007504993015900254,0.6845856999862008,0.012632000027224422,0.6972177000134252
bub_0115.obj,492,980,0.0073302999953739345,0.00011873900017235428,0.000295180999673903,0.0074490389955462885,0.007625480995047837,0.6934426999650896,0.011898200027644634,0.7053408999927342
bub_0116.obj,492,980,0.007282800041139126,0.0001310300000477582,0.0002979179995600134,0.007413830041186884,0.0075807180406991395,0.6928000000189058,0.011703900003340095,0.7045039000222459
bub_0117.obj,492,980,0.007208700000774115,0.00013040299993008375,0.00029595499974675475,0.007339103000704199,0.0075046550005208705,0.6951775999623351,0.012522400007583201,0.7076999999699183
bub_0118.obj,492,980,0.007152499980293214,0.00013173800020013004,0.0002951540000503883,0.007284237980493344,0.0074476539803436026,0.7064830000163056,0.012426299974322319,0.7189092999906279
bub_0119.obj,492,980,0.007168699987232685,0.00013497600040864198,0.0002952430001460016,0.007303675987641327,0.007463942987378687,0.6992072000284679,0.012270400009583682,0.7114776000380516
bub_0120.obj,492,980,0.0072416000184603035,0.0001250910002272576,0.000293385999975726,0.007366691018687561,0.007534986018436029,0.6951586999930441,0.012207699997816235,0.7073663999908604
bub_0121.obj,492,980,0.007208199996966869,0.00011685599980410189,0.0002934730000561103,0.007325055996770971,0.007501672997022979,0.7249457000289112,0.012576900015119463,0.7375226000440307
bub_0122.obj,492,980,0.00723019998986274,0.00013382899982389062,0.00029733799980022016,0.00736402898968663,0.00752753798966296,0.7489078000071459,0.0127698999713175,0.7616776999784634
bub_0123.obj,492,980,0.007083799981046468,0.00010703900014050305,0.0002930860000196844,0.007190838981186971,0.0073768859810661525,0.7115916000329889,0.01264979998813942,0.7242414000211284
bub_0124.obj,492,980,0.007267099979799241,0.00017834500002209097,0.0002916219999315217,0.0074454449798213316,0.007558721979730763,0.7841681999852881,0.012718899990431964,0.79688709997572
bub_0125.obj,492,980,0.007363700016867369,0.00013965000049211086,0.0002953130000969395,0.00750335001735948,0.0076590130169643085,0.8273590999888256,0.012711399991530925,0.8400704999803565
bub_0126.obj,492,980,0.007415700005367398,0.00012082699977327138,0.0002980110002681613,0.0075365270051406695,0.0077137110056355596,0.8267305999761447,0.013234800018835813,0.8399653999949805
