path,bub_id,frame,n_vertices,f_hz_bem,f_hz_nn8_10k,f_hz_poly2
<bubblegym-data>/results/selected-dataMR3D_single_bubble_dx2p00mm_v6_rollL/ppm_ve_home_test_phi_iter/mc_surface_per_bubble_smoothed_lap3/bub_1/frame_03550.obj,1,03550,5044,5.75649730475622,5.67687532,5.80205886
<bubblegym-data>/results/selected-dataMR3D_single_bubble_dx2p00mm_v6_rollL/ppm_ve_home_test_phi_iter/mc_surface_per_bubble_smoothed_lap3/bub_1/frame_03600.obj,1,03600,5032,5.7911837945793945,5.70870518,5.85290037
<bubblegym-data>/results/selected-dataMR3D_single_bubble_dx2p00mm_v6_rollL/ppm_ve_home_test_phi_iter/mc_surface_per_bubble_smoothed_lap3/bub_1/frame_03650.obj,1,03650,5098,5.812149372392401,5.72597795,5.87620613
<bubblegym-data>/results/selected-dataMR3D_single_bubble_dx2p00mm_v6_rollL/ppm_ve_home_test_phi_iter/mc_surface_per_bubble_smoothed_lap3/bub_1/frame_03700.obj,1,03700,5170,5.831687770105916,5.73954888,5.87769495
<bubblegym-data>/results/selected-dataMR3D_single_bubble_dx2p00mm_v6_rollL/ppm_ve_home_test_phi_iter/mc_surface_per_bubble_smoothed_lap3/bub_1/frame_03750.obj,1,03750,5264,5.833091360558595,5.72698554,5.84633824
<bubblegym-data>/results/selected-dataMR3D_single_bubble_dx2p00mm_v6_rollL/ppm_ve_home_test_phi_iter/mc_surface_per_bubble_smoothed_lap3/bub_1/frame_03800.obj,1,03800,4934,5.833540420692934,5.74634092,5.78443984
<bubblegym-data>/results/selected-dataMR3D_single_bubble_dx2p00mm_v6_rollL/ppm_ve_home_test_phi_iter/mc_surface_per_bubble_smoothed_lap3/bub_1/frame_03850.obj,1,03850,4842,5.817712253447851,5.74221448,5.76283227
<bubblegym-data>/results/selected-dataMR3D_single_bubble_dx2p00mm_v6_rollL/ppm_ve_home_test_phi_iter/mc_surface_per_bubble_smoothed_lap3/bub_1/frame_03900.obj,1,03900,4666,5.807083445815121,5.74752406,5.76363347
<bubblegym-data>/results/selected-dataMR3D_single_bubble_dx2p00mm_v6_rollL/ppm_ve_home_test_phi_iter/mc_surface_per_bubble_smoothed_lap3/bub_1/frame_03950.obj,1,03950,4728,5.7933693398086135,5.73488243,5.76057555
<bubblegym-data>/results/selected-dataMR3D_single_bubble_dx2p00mm_v6_rollL/ppm_ve_home_test_phi_iter/mc_surface_per_bubble_smoothed_lap3/bub_1/frame_04000.obj,1,04000,4806,5.788053674694593,5.72431199,5.76770682
