k,t,f_minnaert,f_strasberg,f_nn8,f_bem
135,3.3891213389121337,256.689256130002,258.9629592295806,261.45938337255524,261.209059
136,3.414225941422594,256.689256130002,259.0529832931447,261.6808661841603,261.442674
137,3.439330543933054,256.689256130002,259.20104775755055,261.9221130479463,261.669659
138,3.4644351464435146,256.689256130002,259.3853525475188,262.1377691629151,261.85614
139,3.489539748953975,256.689256130002,259.5814004410005,262.2798042535604,261.973608
140,3.514644351464435,256.689256130002,259.7629638429374,262.3240809142194,262.004518
141,3.5397489539748954,256.689256130002,259.90060583971865,262.25113472516165,261.932961
142,3.5648535564853554,256.689256130002,259.9593801651322,262.0533785061088,261.747835
143,3.589958158995816,256.689256130002,259.89977113781214,261.7298777887304,261.444065
144,3.6150627615062763,256.689256130002,259.69609274488266,261.305020766576,261.037997
145,3.6401673640167362,256.689256130002,259.35734913392423,260.82571995295535,260.568935
146,3.6652719665271967,256.689256130002,258.92680254277116,260.33842220846753,260.085647
147,3.6903765690376567,256.689256130002,258.4643258936076,259.877622953977,259.635266
148,3.715481171548117,256.689256130002,258.0364430979757,259.48098143108,259.260321
149,3.7405857740585775,256.689256130002,257.6980295289332,259.17990419646867,258.990967
150,3.7656903765690375,256.689256130002,257.47720700226154,259.0024019459807,258.842447
151,3.790794979079498,256.689256130002,257.3703063323612,258.9635326180545,258.813342
152,3.815899581589958,256.689256130002,257.34765701590396,259.054092677573,258.889673
153,3.8410041841004183,256.689256130002,257.37140161017317,259.2252026467418,259.048506
154,3.8661087866108788,256.689256130002,257.41206222302077,259.45422616046966,259.267697
155,3.8912133891213387,256.689256130002,257.4610519585809,259.7359598515369,259.539014
156,3.916317991631799,256.689256130002,257.53167731803956,260.0604682252961,259.857091
157,3.941422594142259,256.689256130002,257.65918672920327,260.42170178243,260.212994
158,3.9665271966527196,256.689256130002,257.890137600024,260.822735056553,260.603954
159,3.99163179916318,256.689256130002,258.25229324512543,261.25954574466647,261.024752
160,4.01673640167364,256.689256130002,258.74040258104185,261.7224521434674,261.468839
161,4.0418410041841,256.689256130002,259.32124086633996,262.19933742878464,261.930825
162,4.066945606694561,256.689256130002,259.9473351204568,262.68911632646746,262.417177
163,4.092050209205021,256.689256130002,260.57323594862845,263.18012384842046,262.939862
164,4.117154811715481,256.689256130002,261.1619758587,263.6725206239071,263.513128
165,4.142259414225942,256.689256130002,261.6965690132948,264.2161660955184,264.129718
166,4.167364016736402,256.689256130002,262.1899859278231,264.82696832638504,264.767444
167,4.192468619246862,256.689256130002,262.67804486727374,265.46424487414794,265.393289
168,4.2175732217573225,256.689256130002,263.19273914966766,266.06223193093535,265.972338
169,4.2426778242677825,256.689256130002,263.7530317135224,266.59198999189795,266.482518
170,4.2677824267782425,256.689256130002,264.3463451066086,267.03492920004624,266.907804
171,4.2928870292887025,256.689256130002,264.93249070935815,267.3818161650639,267.240847
172,4.317991631799163,256.689256130002,265.45226475015363,267.6252879638439,267.473376
173,4.343096234309623,256.689256130002,265.8354368840112,267.7514319042017,267.596016
174,4.368200836820083,256.689256130002,266.02067398863227,267.752453296805,267.599777
175,4.393305439330544,256.689256130002,265.97575523189636,267.62975447997746,267.481478
176,4.418410041841004,256.689256130002,265.71035470961175,267.3938012066881,267.244582
177,4.443514644351464,256.689256130002,265.2653681920471,267.0554941384309,266.896785
178,4.468619246861925,256.689256130002,264.69338038974195,266.6220557958299,266.445957
179,4.493723849372385,256.689256130002,264.04836377299364,266.11155657685754,265.910954
