k,t,f_minnaert,f_strasberg,f_nn8,f_bem
118,2.9623430962343096,256.689256130002,263.0649731367922,263.2286317733281,263.068059
119,2.98744769874477,256.689256130002,263.6465803444302,263.8431269869736,263.649665
120,3.01255230125523,256.689256130002,264.2396979030715,264.45417023044206,264.242783
121,3.0376569037656904,256.689256130002,264.83360399750615,265.05174617897563,264.836678
122,3.0627615062761504,256.689256130002,265.4151053972977,265.6276507860041,265.418186
123,3.087866108786611,256.689256130002,265.9686546348846,266.1711707131002,265.971737
124,3.1129707112970713,256.689256130002,266.4764889553888,266.66725622716973,266.479589
125,3.1380753138075312,256.689256130002,266.91926906312455,267.09720189437684,266.922339
126,3.1631799163179917,256.689256130002,267.2766913381136,267.4408540639168,267.27975
127,3.1882845188284517,256.689256130002,267.5288953931374,267.6784443406282,267.53193
128,3.213389121338912,256.689256130002,267.6577194083301,267.7921629543188,267.660801
129,3.2384937238493725,256.689256130002,267.64871791962656,267.76745544954866,267.651778
130,3.2635983263598325,256.689256130002,267.49235311195815,267.59466243265797,267.495445
131,3.288702928870293,256.689256130002,267.1859707394112,267.2704383534823,267.189071
132,3.313807531380753,256.689256130002,266.7345355930183,266.79911868943543,266.737619
133,3.3389121338912133,256.689256130002,266.1511080204451,266.1939538828005,266.154187
134,3.3640167364016738,256.689256130002,265.4564949165615,265.47687185025245,265.459654
135,3.3891213389121337,256.689256130002,264.6784718237625,264.7404811047542,264.681613
136,3.414225941422594,256.689256130002,263.849611563232,263.9362429675306,263.852754
137,3.439330543933054,256.689256130002,263.0057341742538,263.08570650692747,263.008844
138,3.4644351464435146,256.689256130002,262.1835188585622,262.22987690218844,262.186603
139,3.489539748953975,256.689256130002,261.4185542171309,261.43195663031264,261.421684
140,3.514644351464435,256.689256130002,260.74379448895405,260.73929615466193,260.74689
141,3.5397489539748954,256.689256130002,260.18763716388884,260.1651817842296,260.190742
142,3.5648535564853554,256.689256130002,259.7732837795898,259.71608240518555,259.776389
143,3.589958158995816,256.689256130002,259.5177498359225,259.41040296729346,259.520848
144,3.6150627615062763,256.689256130002,259.43140851628453,259.269396348174,259.434501
145,3.6401673640167362,256.689256130002,259.51775658158795,259.41040296729346,259.520846
146,3.6652719665271967,256.689256130002,259.77327479558573,259.71608240518555,259.77639
147,3.6903765690376567,256.689256130002,260.187647016886,260.1651817842296,260.190743
148,3.715481171548117,256.689256130002,260.74375916415056,260.73932723721003,260.746892
149,3.7405857740585775,256.689256130002,261.4185414563711,261.4320189605557,261.421696
150,3.7656903765690375,256.689256130002,262.1834418876994,262.22993942267055,262.186629
151,3.790794979079498,256.689256130002,263.0056809282608,263.08570650692747,263.008896
152,3.815899581589958,256.689256130002,263.8496414536638,263.9361485765914,263.852839
153,3.8410041841004183,256.689256130002,264.6785087674366,264.7402601881737,264.681747
154,3.8661087866108788,256.689256130002,265.4565387294423,265.4763021992965,265.459842
155,3.8912133891213387,256.689256130002,266.1510879892182,266.19303363341953,266.154432
156,3.916317991631799,256.689256130002,266.7345313036174,266.79787829991653,266.737915
157,3.941422594142259,256.689256130002,267.1859900412933,267.2691320507926,267.189408
158,3.9665271966527196,256.689256130002,267.49237022189743,267.593322645689,267.495815
159,3.99163179916318,256.689256130002,267.64870036814494,267.76614671765367,267.652169
160,4.01673640167364,256.689256130002,267.657725767055,267.7910775638597,267.661198
161,4.0418410041841,256.689256130002,267.52885173921584,267.6777423268908,267.532318
162,4.066945606694561,256.689256130002,267.2766660934397,267.4404396055932,267.280123
163,4.092050209205021,256.689256130002,266.91925616498327,267.0969471707569,266.922688
164,4.117154811715481,256.689256130002,266.47652824556883,266.6671290703434,266.479909
165,4.142259414225942,256.689256130002,265.968655289255,266.17110725295544,265.972025
166,4.167364016736402,256.689256130002,265.41509259934196,265.6275874554446,265.418444
167,4.192468619246862,256.689256130002,264.8335920018508,265.05171458234713,264.836904
168,4.2175732217573225,256.689256130002,264.2396938691707,264.45423328123707,264.242974
169,4.2426778242677825,256.689256130002,263.64657941837953,263.8433157023514,263.649826
170,4.2677824267782425,256.689256130002,263.0649732402117,263.22891418716324,263.068193
171,4.2928870292887025,256.689256130002,262.50330140439047,262.62521022099713,262.506509
172,4.317991631799163,256.689256130002,261.9679646322353,262.0470057873937,261.971126
173,4.343096234309623,256.689256130002,261.46347315479517,261.50423852910035,261.466589
174,4.368200836820083,256.689256130002,260.99277501615,260.99958690188026,260.995903
175,4.393305439330544,256.689256130002,260.5577210549126,260.5313436429292,260.560819
176,4.418410041841004,256.689256130002,260.1590277062865,260.0972387502417,260.162092
177,4.443514644351464,256.689256130002,259.7965501346864,259.69691851962625,259.799709
178,4.468619246861925,256.689256130002,259.47005582972866,259.3317439089885,259.473089
179,4.493723849372385,256.689256130002,259.17812480867536,259.0032664612087,259.181246
